,SYMBOL,NAME OF COMPANY,cm01APR2024bhav.csv
475,ELECON,Elecon Engineering Company Limited,3.035573122529639
476,ELECTCAST,Electrosteel Castings Limited,1.739618406285086
477,ELECTHERM,Electrotherm (India) Limited,
478,ELGIEQUIP,Elgi Equipments Limited,-1.5954794748213434
479,ELGIRUBCO,Elgi Rubber Company Limited,9.25925925925926
480,ELIN,Elin Electronics Limited,7.242026266416516
481,EMAMILTD,Emami Limited,2.445557237684872
482,EMAMIPAP,Emami Paper Mills Limited,3.4165571616294272
483,EMAMIREAL,Emami Realty Limited,5.283198476915752
484,EMIL,Electronics Mart India Limited,0.783085356303837
485,EMKAY,Emkay Global Financial Services Limited,6.623376623376628
486,EMMBI,Emmbi Industries Limited,7.718120805369118
487,EMUDHRA,eMudhra Limited,-2.5498744880433284
488,ENDURANCE,Endurance Technologies Limited,-0.038314176245213216
489,ENERGYDEV,Energy Development Company Limited,4.772727272727276
490,ENGINERSIN,Engineers India Limited,4.357514236197084
491,ENIL,Entertainment Network (India) Limited,6.688448971747082
492,EPL,EPL Limited,1.7568321249302716
493,EQUIPPP,Equippp Social Impact Technologies Limited,
494,EQUITASBNK,Equitas Small Finance Bank Limited,1.4586709886547904
495,ERIS,Eris Lifesciences Limited,0.7944507025552774
496,EROSMEDIA,Eros International Media Limited,18.767507002801107
497,ESABINDIA,Esab India Limited,2.0925162555573467
498,ESCORTS,Escorts Kubota Limited,2.923702876894819
499,ESSARSHPNG,Essar Shipping Limited,4.878048780487805
500,ESSENTIA,Integra Essentia Limited,
501,ESTER,Ester Industries Limited,11.12419070041201
502,ETHOSLTD,Ethos Limited,-0.32077914549072356
503,EUROTEXIND,Eurotex Industries and Exports Limited,
504,EVEREADY,Eveready Industries India Limited,1.4362657091561974
505,EVERESTIND,Everest Industries Limited,4.296481205895061
506,EXCEL,Excel Realty N Infra Limited,
507,EXCELINDUS,Excel Industries Limited,14.308931599773883
508,EXIDEIND,Exide Industries Limited,1.9701198489574783
509,EXPLEOSOL,Expleo Solutions Limited,4.965181919320944
510,EXXARO,Exxaro Tiles Limited,8.51190476190477
511,FACT,Fertilizers and Chemicals Travancore Limited,6.09921172067839
512,FAIRCHEMOR,Fairchem Organics Limited,6.154427827255923
513,FAZE3Q,Faze Three Limited,8.812473896700553
514,FCL,Fineotex Chemical Limited,1.1006930289441532
515,FCONSUMER,Future Consumer Limited,
516,FCSSOFT,FCS Software Solutions Limited,4.109589041095888
517,FDC,FDC Limited,2.0946104965874404
518,FEDERALBNK,The Federal Bank  Limited,1.4314247669773674
519,FEL,Future Enterprises Limited,
520,FELDVR,Future Enterprises Limited,
521,FIBERWEB,Fiberweb (India) Limited,19.934102141680384
522,FIEMIND,Fiem Industries Limited,1.0328845729419593
523,FILATEX,Filatex India Limited,5.20922288642187
524,FINCABLES,Finolex Cables Limited,-2.3976023976023977
525,FINEORG,Fine Organic Industries Limited,4.335972836660602
526,FINOPB,Fino Payments Bank Limited,2.989799507562434
527,FINPIPE,Finolex Industries Limited,1.0549807263136632
528,FIVESTAR,Five-Star Business Finance Limited,2.6687052609632262
529,FLEXITUFF,Flexituff Ventures International Limited,-1.06951871657754
530,FLFL,Future Lifestyle Fashions Limited,
531,FLUOROCHEM,Gujarat Fluorochemicals Limited,3.4125946373512934
532,FMGOETZE,Federal-Mogul Goetze (India) Limited.,5.122632722756908
533,FMNL,Future Market Networks Limited,
534,FOCUS,Focus Lighting and Fixtures Limited,4.761904761904758
535,FOODSIN,Foods & Inns Limited,7.671653241273495
536,FORCEMOT,FORCE MOTORS LTD,4.099254555494199
537,FORTIS,Fortis Healthcare Limited,2.082341742027606
538,FOSECOIND,Foseco India Limited,4.790357473987844
539,FRETAIL,Future Retail Limited,
540,FSC,Future Supply Chain Solutions Limited,
541,FSL,Firstsource Solutions Limited,1.2648621300278269
542,FUSION,Fusion Micro Finance Limited,4.090663788451158
543,GABRIEL,Gabriel India Limited,7.787928710498726
544,GAEL,Gujarat Ambuja Exports Limited,3.53456365342509
545,GAIL,GAIL (India) Limited,0.71803369235017
546,GAL,Gyscoal Alloys Limited,
547,GALAXYSURF,Galaxy Surfactants Limited,3.4936708860759453
548,GALLANTT,Gallantt Ispat Limited,
549,GANDHITUBE,Gandhi Special Tubes Limited,2.5863245530230556
550,GANECOS,Ganesha Ecosphere Limited,2.675126903553302
551,GANESHBE,Ganesh Benzoplast Limited,3.8461538461538365
552,GANESHHOUC,Ganesh Housing Corporation Limited,4.577678752278724
553,GANGAFORGE,Ganga Forging Limited,
554,GANGESSECU,Ganges Securities Limited,6.1846689895470455
555,GANGOTRI,Gangotri Textiles Limited,
556,GARFIBRES,Garware Technical Fibres Limited,-0.8616152654767482
557,GATEWAY,Gateway Distriparks Limited,4.987531172069826
558,GATI,GATI Limited,
559,GAYAHWS,Gayatri Highways Limited,
560,GAYAPROJ,Gayatri Projects Limited,
561,GEECEE,GeeCee Ventures Limited,6.632752885932298
562,GEEKAYWIRE,Geekay Wires Limited,4.986595174262741
563,GENCON,Generic Engineering Construction and Projects Limited,4.894179894179898
564,GENESYS,Genesys International Corporation Limited,3.1955363936089234
565,GENUSPAPER,Genus Paper & Boards Limited,3.7634408602150495
566,GENUSPOWER,Genus Power Infrastructures Limited,4.993486756404689
567,GEOJITFSL,Geojit Financial Services Limited,9.112149532710271
568,GEPIL,GE Power India Limited,7.9269440783280025
569,GESHIP,The Great Eastern Shipping Company Limited,-0.38951310861422994
570,GET&D,GE T&D India Limited,
571,GFLLIMITED,GFL Limited,8.849557522123893
572,GFSTEELS,Grand Foundry Limited,
573,GHCL,GHCL Limited,4.060913705583756
574,GICHSGFIN,GIC Housing Finance Limited,5.53624627606753
575,GICRE,General Insurance Corporation of India,4.473085670962851
576,GILLANDERS,Gillanders Arbuthnot & Company Limited,
577,GILLETTE,Gillette India Limited,2.1887845880115315
578,GINNIFILA,Ginni Filaments Limited,4.9504950495049505
579,GIPCL,Gujarat Industries Power Company Limited,7.850352652560553
580,GISOLUTION,GI Engineering Solutions Limited,
581,GKWLIMITED,GKW Limited,4.997186664791107
582,GLAND,Gland Pharma Limited,-1.7070857607370273
583,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,2.039453405938562
584,GLENMARK,Glenmark Pharmaceuticals Limited,2.5040429860712607
585,GLFL,Gujarat Lease Financing Limited,
586,GLOBAL,Global Education Limited,3.6497936128611794
587,GLOBALVECT,Global Vectra Helicorp Limited,
588,GLOBE,Globe Textiles (India) Limited,
589,GLOBUSSPR,Globus Spirits Limited,12.74981217129978
590,GLS,Glenmark Life Sciences Limited,1.0815682739972932
591,GMBREW,GM Breweries Limited,12.807570977917987
592,GMDCLTD,Gujarat Mineral Development Corporation Limited,9.042011920337266
593,GMMPFAUDLR,GMM Pfaudler Limited,4.761712112630464
594,GMRINFRA,GMR Airports Infrastructure Limited,2.3897058823529447
595,GMRP&UI,GMR Power and Urban Infra Limited,4.90081680280047
596,GNA,GNA Axles Limited,5.19053876478318
597,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,3.151495760678281
598,GOACARBON,Goa Carbon Limited,5.230706687444936
599,GOCLCORP,GOCL Corporation Limited,3.8385393752749644
600,GOCOLORS,Go Fashion (India) Limited,-0.24477265184202168
601,GODFRYPHLP,Godfrey Phillips India Limited,0.31237860934870165
602,GODHA,Godha Cabcon & Insulation Limited,
603,GODREJAGRO,Godrej Agrovet Limited,3.0595482546201187
604,GODREJCP,Godrej Consumer Products Limited,-1.8733024444799524
605,GODREJIND,Godrej Industries Limited,1.0096491788612663
606,GODREJPROP,Godrej Properties Limited,3.8954828050954267
607,GOENKA,Goenka Diamond and Jewels Limited,
608,GOKEX,Gokaldas Exports Limited,6.828162629267609
609,GOKUL,Gokul Refoils and Solvent Limited,
610,GOKULAGRO,Gokul Agro Resources Limited,3.4814475492441566
611,GOLDENTOBC,Golden Tobacco Limited,
612,GOLDIAM,Goldiam International Limited,9.625511995318893
613,GOLDTECH,Goldstone Technologies Limited,2.2952117134942664
614,GOODLUCK,Goodluck India Limited,8.796296296296301
615,GOODYEAR,Goodyear India Limited,
616,GOYALALUM,Goyal Aluminiums Limited,
617,GPIL,Godawari Power And Ispat limited,-1.5383599630265388
618,GPPL,Gujarat Pipavav Port Limited,5.363443895553976
619,GPTINFRA,GPT Infraprojects Limited,7.517594369801663
620,GRANULES,Granules India Limited,1.813320934557715
621,GRAPHITE,Graphite India Limited,5.25225747659681
622,GRASIM,Grasim Industries Limited,0.22952826476631835
623,GRAUWEIL,Grauer & Weil (India) Limited,
624,GRAVITA,Gravita India Limited,0.22027534418022984
625,GREAVESCOT,Greaves Cotton Limited,2.8041074249605145
626,GREENLAM,Greenlam Industries Limited,3.5110275937098097
627,GREENPANEL,Greenpanel Industries Limited,2.1127879269261247
628,GREENPLY,Greenply Industries Limited,5.363321799307961
629,GREENPOWER,Orient Green Power Company Limited,
630,GRINDWELL,Grindwell Norton Limited,2.517162471395876
631,GRINFRA,G R Infraprojects Limited,5.763644702644845
632,GRMOVER,GRM Overseas Limited,9.945217024863027
633,GROBTEA,The Grob Tea Company Limited,0.625142077744942
634,GRPLTD,GRP Limited,0.14965808882783177
635,GRSE,Garden Reach Shipbuilders & Engineers Limited,5.583889106839274
636,GRWRHITECH,Garware Hi-Tech Films Limited,4.003431512725193
637,GSFC,Gujarat State Fertilizers & Chemicals Limited,9.123434704830052
638,GSLSU,Global Surfaces Limited,4.9837486457204765
639,GSPL,Gujarat State Petronet Limited,2.9453015427769986
640,GSS,GSS Infotech Limited,
641,GTL,GTL Limited,
642,GTLINFRA,GTL Infrastructure Limited,3.124999999999989
643,GTPL,GTPL Hathway Limited,4.924924924924918
644,GUFICBIO,Gufic Biosciences Limited,3.0973451327433628
645,GUJALKALI,Gujarat Alkalies and Chemicals Limited,4.744227485336689
646,GUJAPOLLO,Gujarat Apollo Industries Limited,
647,GUJGASLTD,Gujarat Gas Limited,0.6338998621956905
648,GUJRAFFIA,Gujarat Raffia Industries Limited,
649,GULFOILLUB,Gulf Oil Lubricants India Limited,2.3509969079859334
650,GULFPETRO,GP Petroleums Limited,4.5567522783761385
651,GULPOLY,Gulshan Polyols Limited,7.338883749614558
652,GVKPIL,GVK Power & Infrastructure Limited,4.615384615384608
653,HAL,Hindustan Aeronautics Limited,2.2948602344454434
654,HAPPSTMNDS,Happiest Minds Technologies Limited,6.998925308973673
655,HARDWYN,Hardwyn India Limited,5.112781954887226
656,HARIOMPIPE,Hariom Pipe Industries Limited,10.249338040600174
657,HARRMALAYA,Harrisons  Malayalam Limited,4.669496664645233
658,HARSHA,Harsha Engineers International Limited,1.5706806282722399
659,HATHWAY,Hathway Cable & Datacom Limited,9.693877551020401
660,HATSUN,Hatsun Agro Product Limited,2.911517548195753
661,HAVELLS,Havells India Limited,-0.0363036303630333
662,HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,
663,HBLPOWER,HBL Power Systems Limited,1.0242290748898628
664,HBSL,HB Stockholdings Limited,
665,HCC,Hindustan Construction Company Limited,8.54430379746834
666,HCG,Healthcare Global Enterprises Limited,-0.28118987716443555
667,HCL-INSYS,HCL Infosystems Limited,4.733727810650892
668,HCLTECH,HCL Technologies Limited,0.8519322341356025
669,HDFC,Housing Development Finance Corporation Limited,
670,HDFCAMC,HDFC Asset Management Company Limited,0.8257638315441783
671,HDFCBANK,HDFC Bank Limited,1.5608812763312319
672,HDFCLIFE,HDFC Life Insurance Company Limited,0.22104681455750805
673,HDIL,Housing Development and Infrastructure Limited,
674,HEADSUP,Heads UP Ventures Limited,8.710801393728223
675,HECPROJECT,HEC Infra Projects Limited,4.775900073475386
676,HEG,HEG Limited,6.287790461213093
677,HEIDELBERG,HeidelbergCement India Limited,2.545176889793841
678,HEMIPROP,Hemisphere Properties India Limited,4.051012753188308
679,HERANBA,Heranba Industries Limited,8.690287325929855
680,HERCULES,Hercules Hoists Limited,-1.5493088412654277
681,HERITGFOOD,Heritage Foods Limited,0.2663904099452352
682,HEROMOTOCO,Hero MotoCorp Limited,-0.8798678609999402
683,HESTERBIO,Hester Biosciences Limited,3.696798020725014
684,HEUBACHIND,Heubach Colorants India Limited,3.631989000916596
685,HEXATRADEX,Hexa Tradex Limited,0.8289124668435013
686,HFCL,HFCL Limited,7.407407407407404
687,HGINFRA,H.G. Infra Engineering Limited,9.071404995048965
688,HGS,Hinduja Global Solutions Limited,6.431085838072027
689,HIKAL,Hikal Limited,3.9426523297490994
690,HIL,HIL Limited,3.6049524906420993
691,HILTON,Hilton Metal Forging Limited,10.000000000000004
692,HIMATSEIDE,Himatsingka Seide Limited,10.801963993453358
693,HINDALCO,Hindalco Industries Limited,1.4904060687193257
694,HINDCOMPOS,Hindustan Composites Limited,4.033915724563204
695,HINDCON,Hindcon Chemicals Limited,
696,HINDCOPPER,Hindustan Copper Limited,11.436791943894987
697,HINDMOTORS,Hindustan Motors Limited,3.9156626506024006
698,HINDNATGLS,Hindusthan National Glass & Industries Limited,
699,HINDOILEXP,Hindustan Oil Exploration Company Limited,2.1665728756331024
700,HINDPETRO,Hindustan Petroleum Corporation Limited,-1.440134552717327
701,HINDUNILVR,Hindustan Unilever Limited,0.9517079956720553
702,HINDWAREAP,Hindware Home Innovation Limited,6.344571276878162
703,HINDZINC,Hindustan Zinc Limited,4.738282586383841
704,HIRECT,Hind Rectifiers Limited,0.8033126293995897
705,HISARMETAL,Hisar Metal Industries Limited,6.302158273381288
706,HITECH,Hi-Tech Pipes Limited,3.112701252236132
707,HITECHCORP,Hitech Corporation Limited,6.07358870967741
708,HITECHGEAR,The Hi-Tech Gears Limited,4.737149912274993
709,HLEGLAS,HLE Glascoat Limited,6.245407788390889
710,HLVLTD,HLV LIMITED,8.061420345489436
711,HMT,HMT Limited,
712,HMVL,Hindustan Media Ventures Limited,2.979515828677829
713,HNDFDS,Hindustan Foods Limited,6.285714285714283
714,HOMEFIRST,Home First Finance Company India Limited,2.44486522610827
715,HONAUT,Honeywell Automation India Limited,-0.35528500991928114
716,HONDAPOWER,Honda India Power Products Limited,3.061662561854622
717,HOVS,HOV Services Limited,8.26086956521739
718,HPAL,HP Adhesives Limited,5.290728129910946
719,HPIL,Hindprakash Industries Limited,
720,HPL,HPL Electric & Power Limited,4.992101105845186
721,HSCL,Himadri Speciality Chemical Limited,
722,HTMEDIA,HT Media Limited,4.725897920604915
723,HUBTOWN,Hubtown Limited,
724,HUDCO,Housing & Urban Development Corporation Limited,7.289719626168227
725,HUHTAMAKI,Huhtamaki India Limited,4.496072204579658
726,HYBRIDFIN,Hybrid Financial Services Limited,
727,IBREALEST,Indiabulls Real Estate Limited,1.681759379042693
728,IBULHSGFIN,Indiabulls Housing Finance Limited,6.833036244800949
729,ICDSLTD,ICDS Limited,
730,ICEMAKE,Ice Make Refrigeration Limited,5.6318681318681385
731,ICICIBANK,ICICI Bank Limited,0.5808103905607004
732,ICICIGI,ICICI Lombard General Insurance Company Limited,0.7925200356188726
733,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,1.2240203729565506
734,ICIL,Indo Count Industries Limited,-3.007624964699247
735,ICRA,ICRA Limited,-0.22501423559449676
736,IDBI,IDBI Bank Limited,2.9012345679012275
737,IDEA,Vodafone Idea Limited,5.660377358490567
738,IDFC,IDFC Limited,2.2583559168925023
739,IDFCFIRSTB,IDFC First Bank Limited,2.7851458885941565
740,IEL,Indiabulls Enterprises Limited,4.901960784313726
741,IEX,Indian Energy Exchange Limited,4.428730926684047
742,IFBAGRO,IFB Agro Industries Limited,3.4232490625377956
743,IFBIND,IFB Industries Limited,3.5392941332713543
744,IFCI,IFCI Limited,4.918032786885253
745,IFGLEXPOR,IFGL Refractories Limited,6.975246158093305
746,IGARASHI,Igarashi Motors India Limited,5.020716548866674
747,IGL,Indraprastha Gas Limited,2.216805942432686
748,IGPL,IG Petrochemicals Limited,5.316308763784092
749,IIFL,IIFL Finance Limited,1.5730667450749678
750,IIFLSEC,IIFL Securities Limited,4.72120472120473
751,IITL,Industrial Investment Trust Limited,0.34860557768923733
752,IL&FSENGG,IL&FS Engineering and Construction Company Limited,
753,IL&FSTRANS,IL&FS Transportation Networks Limited,
754,IMAGICAA,Imagicaaworld Entertainment Limited,6.08414239482201
755,IMFA,Indian Metals & Ferro Alloys Limited,1.102251407129449
756,IMPAL,India Motor Parts and Accessories Limited,2.55986787778696
757,IMPEXFERRO,Impex Ferro Tech Limited,
758,INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED,
759,INDBANK,Indbank Merchant Banking Services Limited,2.780996523754352
760,INDHOTEL,The Indian Hotels Company Limited,1.7339084834644338
761,INDIACEM,The India Cements Limited,3.766478342749529
762,INDIAGLYCO,India Glycols Limited,6.4790964929661286
763,INDIAMART,Indiamart Intermesh Limited,2.489179534672754
764,INDIANB,Indian Bank,1.670827731899353
765,INDIANCARD,Indian Card Clothing Company Limited,2.2366815778771856
766,INDIANHUME,Indian Hume Pipe Company Limited,9.344326658814296
767,INDIGO,InterGlobe Aviation Limited,0.008453919095986561
768,INDIGOPNTS,Indigo Paints Limited,4.51217571223938
769,INDLMETER,IMP Powers Limited,
770,INDNIPPON,India Nippon Electricals Limited,7.052082568133403
771,INDOAMIN,Indo Amines Limited,6.008968609865473
772,INDOBORAX,Indo Borax & Chemicals Limited,3.075489282385845
773,INDOCO,Indoco Remedies Limited,3.240529438612516
774,INDORAMA,Indo Rama Synthetics (India) Limited,11.325611325611321
775,INDOSTAR,IndoStar Capital Finance Limited,4.990806409246126
776,INDOTECH,Indo Tech Transformers Limited,0.5159854309995976
777,INDOTHAI,Indo Thai Securities Limited,
778,INDOWIND,Indowind Energy Limited,
779,INDRAMEDCO,Indraprastha Medical Corporation Limited,4.989786985701787
780,INDSWFTLAB,Ind-Swift Laboratories Limited,0.4493260109835133
781,INDSWFTLTD,Ind-Swift Limited,4.65753424657535
782,INDTERRAIN,Indian Terrain Fashions Limited,3.508771929824561
783,INDUSINDBK,IndusInd Bank Limited,-0.6825499034127437
784,INDUSTOWER,Indus Towers Limited,8.260346900223258
785,INFIBEAM,Infibeam Avenues Limited,5.71847507331377
786,INFOBEAN,InfoBeans Technologies Limited,4.507580931566726
787,INFOMEDIA,Infomedia Press Limited,
788,INFY,Infosys Limited,-0.17355895998130297
789,INGERRAND,Ingersoll Rand (India) Limited,0.660263290176211
790,INOXGREEN,Inox Green Energy Services Limited,
791,INOXWIND,Inox Wind Limited,0.5943251533742375
792,INSECTICID,Insecticides (India) Limited,5.058605798889567
793,INSPIRISYS,Inspirisys Solutions Limited,
794,INTELLECT,Intellect Design Arena Limited,-1.5180525164113663
795,INTENTECH,Intense Technologies Limited,
796,INTLCONV,International Conveyors Limited,9.87421383647798
797,INVENTURE,Inventure Growth & Securities Limited,
798,IOB,Indian Overseas Bank,8.00667222685571
799,IOC,Indian Oil Corporation Limited,0.8941877794336811
800,IOLCP,IOL Chemicals and Pharmaceuticals Limited,4.744777977590271
801,IONEXCHANG,ION Exchange (India) Limited,2.279680252639903
802,IPCALAB,IPCA Laboratories Limited,0.294973331178266
803,IPL,India Pesticides Limited,7.381889763779529
804,IRB,IRB Infrastructure Developers Limited,4.6968403074295475
805,IRCON,Ircon International Limited,3.4372865923059335
806,IRCTC,Indian Railway Catering And Tourism Corporation Limited,4.350865870710974
807,IRFC,Indian Railway Finance Corporation Limited,1.7211099402880343
808,IRIS,Iris Business Services Limited,4.9738219895287985
809,IRISDOREME,Iris Clothings Limited,2.976995940460066
810,ISEC,ICICI Securities Limited,-0.47412904555760765
811,ISFT,Intrasoft Technologies Limited,8.73342478280751
812,ISGEC,Isgec Heavy Engineering Limited,3.4636373760997907
813,ISMTLTD,ISMT Limited,8.645533141210375
814,ITC,ITC Limited,-0.3851990194934129
815,ITDC,India Tourism Development Corporation Limited,4.995645633758225
816,ITDCEM,ITD Cementation India Limited,-0.7035928143712643
817,ITI,ITI Limited,7.083498219232305
818,IVC,IL&FS Investment Managers Limited,5.882352941176478
819,IVP,IVP Limited,
820,IWEL,Inox Wind Energy Limited,
821,IZMO,IZMO Limited,4.9916805324459235
822,J&KBANK,The Jammu & Kashmir Bank Limited,0.9314456035767513
823,JAGRAN,Jagran Prakashan Limited,3.7993180711154326
824,JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,2.548806941431654
825,JAIBALAJI,Jai Balaji Industries Limited,
826,JAICORPLTD,Jai Corp Limited,4.984974368039585
827,JAIPURKURT,Nandani Creation Limited,-1.8921475875118259
828,JAMNAAUTO,Jamna Auto Industries Limited,1.5500945179584207
829,JASH,Jash Engineering Limited,1.3543818235467715
830,JAYAGROGN,Jayant Agro Organics Limited,5.068588700302244
831,JAYBARMARU,Jay Bharat Maruti Limited,3.934010152284256
832,JAYNECOIND,Jayaswal Neco Industries Limited,4.942166140904314
833,JAYSREETEA,Jayshree Tea & Industries Limited,3.737319807794981
834,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,2.7357004362578685
835,JBFIND,JBF Industries Limited,
836,JBMA,JBM Auto Limited,1.9759997782889374
837,JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,7.273870663452466
838,JETAIRWAYS,Jet Airways (India) Limited,
839,JETFREIGHT,Jet Freight Logistics Limited,6.024096385542169
840,JHS,JHS Svendgaard Laboratories Limited,
841,JINDALPHOT,Jindal Photo Limited,7.092393797596105
842,JINDALPOLY,Jindal Poly Films Limited,13.129754161613938
843,JINDALSAW,Jindal Saw Limited,9.302056852322625
844,JINDALSTEL,Jindal Steel & Power Limited,2.261084614025796
845,JINDRILL,Jindal Drilling And Industries Limited,-0.46289031853129325
846,JINDWORLD,Jindal Worldwide Limited,6.573896353166972
847,JISLDVREQS,Jain Irrigation Systems Limited,9.982788296041303
848,JISLJALEQS,Jain Irrigation Systems Limited,10.83844580777097
849,JITFINFRA,JITF Infralogistics Limited,
850,JKCEMENT,JK Cement Limited,5.077094807600316
851,JKIL,J.Kumar Infraprojects Limited,5.126376673797642
852,JKLAKSHMI,JK Lakshmi Cement Limited,0.8907159986296623
853,JKPAPER,JK Paper Limited,3.5509381299426233
854,JKTYRE,JK Tyre & Industries Limited,-0.717509547506081
855,JMA,Jullundur Motor Agency (Delhi) Limited,
856,JMFINANCIL,JM Financial Limited,7.161981258366793
857,JOCIL,Jocil Limited,6.181603076013007
858,JPASSOCIAT,Jaiprakash Associates Limited,4.735376044568254
859,JPOLYINVST,Jindal Poly Investment and Finance Company Limited,7.500612795162999
860,JPPOWER,Jaiprakash Power Ventures Limited,
861,JSL,Jindal Stainless Limited,3.6143710850313067
862,JSWENERGY,JSW Energy Limited,-1.9757988277557064
863,JSWHL,JSW Holdings Limited,0.17747582238552714
864,JSWISPL,JSW Ispat Special Products Limited,
865,JSWSTEEL,JSW Steel Limited,5.02890869669959
866,JTEKTINDIA,Jtekt India Limited,4.396231801313154
867,JTLIND,JTL INDUSTRIES LIMITED,9.904502046384724
868,JUBLFOOD,Jubilant Foodworks Limited,1.3367494708700012
869,JUBLINDS,Jubilant Industries Limited,4.999786880354639
870,JUBLINGREA,Jubilant Ingrevia Limited,3.324497459686329
871,JUBLPHARMA,Jubilant Pharmova Limited,0.8247060887875145
872,JUSTDIAL,Just Dial Limited,4.139948951005416
873,JWL,Jupiter Wagons Limited,1.7773620205799905
874,JYOTHYLAB,Jyothy Labs Limited,0.909194226616661
875,JYOTISTRUC,Jyoti Structures Limited,
876,KABRAEXTRU,Kabra Extrusion Technik Limited,7.49872470668254
877,KAJARIACER,Kajaria Ceramics Limited,6.1696324197947785
878,KAKATCEM,Kakatiya Cement Sugar & Industries Limited,4.303482587064679
879,KALPATPOWR,Kalpataru Power Transmission Limited,
880,KALYANI,Kalyani Commercials Limited,
881,KALYANIFRG,Kalyani Forge Limited,2.4375306222439956
882,KALYANKJIL,Kalyan Jewellers India Limited,-0.44413277232352366
883,KAMATHOTEL,Kamat Hotels (I) Limited,4.983987189751796
884,KAMDHENU,Kamdhenu Limited,4.911838790931994
885,KAMOPAINTS,Kamdhenu Ventures Limited,9.988038277511972
886,KANANIIND,Kanani Industries Limited,
887,KANORICHEM,Kanoria Chemicals & Industries Limited,3.5272560696289457
888,KANPRPLA,Kanpur Plastipack Limited,3.888888888888889
889,KANSAINER,Kansai Nerolac Paints Limited,3.6796949475691045
890,KAPSTON,Kapston Services Limited,4.992779038580563
891,KARMAENG,Karma Energy Limited,
892,KARURVYSYA,Karur Vysya Bank Limited,2.0525451559934322
893,KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,4.7273030986386155
894,KAVVERITEL,Kavveri Telecom Products Limited,4.741379310344834
895,KAYA,Kaya Limited,3.5005646071947165
896,KAYNES,Kaynes Technology India Limited,-2.9178780967635136
897,KBCGLOBAL,KBC Global Limited,2.85714285714286
898,KCP,KCP Limited,6.12773302646719
899,KCPSUGIND,KCP Sugar and Industries Corporation Limited,14.045801526717561
900,KDDL,KDDL Limited,-2.4222652665919093
901,KEC,KEC International Limited,3.6226143320129607
902,KECL,Kirloskar Electric Company Limited,10.775862068965516
903,KEEPLEARN,DSJ Keep Learning Limited,4.166666666666664
904,KEERTI,Keerti Knowledge and Skills Limited,
905,KEI,KEI Industries Limited,1.1676975547719415
906,KELLTONTEC,Kellton Tech Solutions Limited,6.003078501795787
907,KENNAMET,Kennametal India Limited,
908,KERNEX,Kernex Microsystems (India) Limited,1.5178571428571428
909,KESORAMIND,Kesoram Industries Limited,1.1977797253870774
910,KEYFINSERV,Keynote Financial Services Limited,6.872613675806995
911,KFINTECH,Kfin Technologies Limited,1.385154403976208
912,KHADIM,Khadim India Limited,4.782892588965059
913,KHAICHEM,Khaitan Chemicals & Fertilizers Limited,5.749805749805755
914,KHAITANLTD,Khaitan (India) Limited,4.974271012006871
915,KHANDSE,Khandwala Securities Limited,2.214650766609876
916,KICL,Kalyani Investment Company Limited,2.4174642138069915
917,KILITCH,Kilitch Drugs (India) Limited,-1.8899460015428045
918,KIMS,Krishna Institute of Medical Sciences Limited,-0.7599854315891752
919,KINGFA,Kingfa Science & Technology (India) Limited,-0.95415941880691
920,KIOCL,KIOCL Limited,5.746978657752642
921,KIRIINDUS,Kiri Industries Limited,8.87495875948531
922,KIRLFER,Kirloskar Ferrous Industries Ltd,
923,KIRLOSBROS,Kirloskar Brothers Limited,4.689283594356435
924,KIRLOSENG,Kirloskar Oil Engines Limited,3.304438885333641
925,KIRLOSIND,Kirloskar Industries Limited,1.1434890390317227
926,KIRLPNU,Kirloskar Pneumatic Company Limited,-1.0098156909822722
927,KITEX,Kitex Garments Limited,5.825776312173687
928,KKCL,Kewal Kiran Clothing Limited,5.412679425837328
929,KMSUGAR,K.M.Sugar Mills Limited,6.417112299465242
930,KNRCON,KNR Constructions Limited,3.2886723507917153
931,KOHINOOR,Kohinoor Foods Limited,10.32258064516129
932,KOKUYOCMLN,Kokuyo Camlin Limited,5.765765765765771
933,KOLTEPATIL,Kolte - Patil Developers Limited,3.076756990175969
934,KOPRAN,Kopran Limited,4.5630317092033845
935,KOTAKBANK,Kotak Mahindra Bank Limited,0.2912349481937858
936,KOTARISUG,Kothari Sugars And Chemicals Limited,6.608357628765789
937,KOTHARIPET,Kothari Petrochemicals Limited,4.539877300613495
938,KOTHARIPRO,Kothari Products Limited,4.34593654932638
939,KOVAI,Kovai Medical Center and Hospital Limited,
940,KPIGREEN,KPI Green Energy Limited,5.000000000000006
941,KPITTECH,KPIT Technologies Limited,0.15810010764262036
942,KPRMILL,K.P.R. Mill Limited,-0.612649408372878
943,KRBL,KRBL Limited,11.627906976744185
944,KREBSBIO,Krebs Biochemicals and Industries Limited,4.963384865744503
945,KRIDHANINF,Kridhan Infra Limited,
946,KRISHANA,Krishana Phoschem Limited,0.5736529399713081
