,SYMBOL,NAME OF COMPANY,cm20FEB2024bhav.csv,cm19FEB2024bhav.csv,cm16FEB2024bhav.csv,cm15FEB2024bhav.csv,cm14FEB2024bhav.csv,cm13FEB2024bhav.csv,cm12FEB2024bhav.csv,cm09FEB2024bhav.csv,cm08FEB2024bhav.csv,cm07FEB2024bhav.csv,cm06FEB2024bhav.csv,cm05FEB2024bhav.csv,cm02FEB2024bhav.csv,cm01FEB2024bhav.csv
25,ABFRL,Aditya Birla Fashion and Retail Limited,-0.10617965597791462,1.9926359107645633,-3.2075471698113227,-2.0131470829909635,1.142738416787866,-0.041536863966768145,-4.785445916551312,-2.280193236714978,-1.541095890410963,3.180212014134285,2.680911106631718,-0.1609981887703672,2.707730467135173,-0.8403361344537745
26,ABMINTLLTD,ABM International Limited,5.254091300602936,-1.0230179028133017,2.7145359019264395,0.35149384885765,-0.17543859649123056,-7.766990291262131,-9.978150036416618,9.927942353883111,-5.307050796057619,-1.3462976813762029,3.48297213622291,4.615384615384606,2.4896265560165975,1.2605042016806722
27,ABSLAMC,Aditya Birla Sun Life AMC Limited,-0.31014163134498085,0.9181011997913359,0.937236731255263,1.7573939134161998,0.5820219874973153,-1.2348307430274668,-2.0437956204379586,-1.1645882716685514,-0.5636400901824145,-0.10237510237510238,1.877346683354193,-0.0729546638874461,1.955158856657101,-1.4967552857441864
28,ACC,ACC Limited,0.6066279722898266,-1.8342890751360128,3.137262335791329,0.6890364941212469,0.19123384074045743,-0.8250042672634513,0.31582351933942376,4.667741999721221,0.21153040250642483,-0.8978542470087933,1.691336175689815,-0.5301166256576447,-1.2075098814229321,-0.5620406398616586
29,ACCELYA,Accelya Solutions India Limited,-2.831036548831638,0.6761002337446927,-3.28877005347594,4.283903675538657,6.179684556171607,0.40264829077151976,1.325264916075685,-2.947116662237579,2.7889316834658118,0.7707341242533513,2.5171430990208052,-1.7222253036774187,-1.053729213544801,-0.12606884455164336
30,ACCURACY,Accuracy Shipping Limited,,,,,,,,,,,,,,
31,ACE,Action Construction Equipment Limited,-3.349016253207878,-0.48946584379655245,1.996961146082049,-2.1785289621199326,3.005117886356689,3.317214263117463,0.2310201123391878,-3.5940434080090915,2.511415525114151,12.778310698238005,-0.07063215781241429,4.16206842188238,-1.8769659155365266,-0.7523029682702174
32,ACEINTEG,Ace Integrated Solutions Limited,-3.037974683544311,1.935483870967742,-2.760351317440405,-0.12531328320801294,3.1007751937984382,0.259067357512957,-2.770780856423177,-2.6960784313725354,0.7407407407407337,1.6311166875784155,1.2706480304955527,-1.5018773466833577,-0.8684863523573061,1.0025062656641568
33,ACI,Archean Chemical Industries Limited,3.086247735822764,8.882651900174478,4.378463974663497,-0.8167111669546168,-2.3241543299838883,0.8977633310115422,1.0874667501173418,2.0681945220793816,0.24815882164584604,1.239970824215897,-1.6734401147501792,1.2914682379530227,-1.4242520687460107,-0.8050513022888749
34,ACL,Andhra Cements Limited,-1.2733446519524618,-0.7582139848357251,-2.6650266502665025,0.7434944237918263,2.7153160797624127,-2.8842192006592504,-1.0195758564437194,2.2092538557732317,-0.20798668885191346,-1.2731006160164249,-0.49039640375970117,0.6995884773662505,-1.8578352180936972,-0.2819170358437443
35,ADANIENT,Adani Enterprises Limited,-0.926721492573962,1.0919468916739135,0.9330577994864965,-0.41780992766274744,0.904528937060517,0.27446959539395277,-1.4135979099278373,1.4706810578804492,-1.8963728965741444,0.8146703082325372,0.9547968299484846,0.5067380322728785,0.12525765022989752,0.366008911521324
36,ADANIGREEN,Adani Green Energy Limited,-1.452648269865214,2.6407665047906526,0.2104432460870709,2.618437036037252,2.0214260141554927,-1.4680342993595983,-2.025841442016278,2.8857463278536066,-2.0391211146838133,8.384398687305776,3.176220297845564,-0.3344781245333677,0.49821423211980875,-0.20964988469256343
37,ADANIPORTS,Adani Ports and Special Economic Zone Limited,-0.4973221117061974,0.011477981405677082,3.1411546505662726,-0.06309894703631776,0.2411448450347845,1.2366430543882856,-1.7420369642155007,2.112110504336649,-0.8322382829610198,-1.3706700180661235,1.1560923284732394,-0.2298941694082279,3.495097838126114,0.9274210243033841
38,ADANIPOWER,Adani Power Limited,,,,,,,,,,,,,,
39,ADANITRANS,Adani Transmission Limited,,,,,,,,,,,,,,
40,ADFFOODS,ADF Foods Limited,-0.43367346938775225,1.0830324909747262,0.46632124352331894,1.6056857067649442,1.4419225634178845,0.42906945561813437,-5.547112462006087,-1.0030090270812437,0.10040160642571137,-0.17539463793536594,-1.3593672763222935,-1.0031808172253405,-0.2684236212786781,-4.297057449789812
41,ADL,Archidply Decor Limited,,,,,,,,,,,,,,
42,ADORWELD,Ador Welding Limited,1.570500704491557,0.6154697278794019,-0.3994903054723253,-0.2884516328422819,-0.23296447291788625,0.41626530893077984,-2.002562200795619,0.41639865939942877,0.5240769099880922,1.6676469570632741,-1.0747167744805983,-4.237954768928226,-7.66017977664114,3.085610882316239
43,ADROITINFO,Adroit Infotech Limited,,,,,,,,,,,,,,
44,ADSL,Allied Digital Services Limited,-1.7429193899782207,0.6263701847792045,-4.544095665171895,7.245912151330562,-2.7439975054568166,4.157193894121472,-3.6306729264475814,-2.4427480916030535,-0.637135922330104,-4.0465793304221185,7.747804265997487,-4.550898203592811,-5.221339387060152,-3.2665385671150244
45,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,3.8948701709943037,0.3176620076238882,-0.9439899307740717,3.924133420536298,-0.48812235600390497,-2.9987373737373737,5.004971826317542,-5.334170065892689,0.31476235442241113,1.4691791759821033,-1.105495893872394,1.4093529788597163,0.7421748951274643,-2.761217445873866
46,ADVENZYMES,Advanced Enzyme Technologies Limited,-1.7378533839187427,-0.09781146839466372,-0.5955274671852185,0.3047665488236011,-1.0613918707031802,7.773300402963742,0.7596594629993392,0.6459267070920086,-3.0790852178356998,0.8894044856922004,2.025249868490265,-1.8332042344435897,2.6504108136761197,-0.8930916732335114
47,AEGISCHEM,Aegis Logistics Limited,-0.5873558308415208,7.336084364970197,2.226388563393485,8.865926776374538,-1.7422913010779615,9.123238954999307,-2.2201417680888085,-1.7477003942181282,1.1699016219090606,-2.954457489356209,-2.0967538208917547,5.743288366501936,-3.7413216765235164,2.9789487620812927
48,AETHER,Aether Industries Limited,-0.6761015298229505,0.872731476129922,-0.12699145693835404,0.955710955710961,-0.6311888354855574,0.6176076443512286,-0.9407826388087243,-0.4023913543343298,-0.7417551066986192,2.323680523120035,2.262821660994678,-1.0106382978723352,-2.3151088274349005,-2.00837293505318
49,AFFLE,Affle (India) Limited,-1.2240851687427305,-0.15922196402445443,-1.8002028397565883,3.9810176641181085,0.16725352112676856,1.796675478292034,0.15256899259592063,-3.649098534307583,-2.28559357836924,-0.06333122229259025,-0.8995815899581591,-2.8928977734438415,1.3506835776642945,-2.1595487510072484
50,AGARIND,Agarwal Industrial Corporation Limited,-0.7945967421533572,-0.9639976391894617,3.8990239664775896,-2.115846338535412,-3.685503685503675,2.0501474926253596,-5.750428617765623,0.20429957747133265,-0.9018543229190799,-0.38045471213786797,-0.15103666071674593,-0.33754504401770247,-3.67327211213146,0.3129407616361031
51,AGI,AGI Greenpac Limited,1.5503875968992302,6.708786556373347,-1.3620301959524603,-0.8535575514364029,0.3515724878547686,0.462368353454922,-4.9328449328449295,-2.6853612167300405,-1.6132803366845867,4.228097965151691,3.083589775796027,0.7912393973920749,1.120143378352429,-2.1299254526091587
52,AGRITECH,Agri-Tech (India) Limited,1.7589239524055753,-1.175869120654388,-0.43268007126495006,2.504565614401243,0.8418837148118885,-3.1345565749235362,-3.1350283880523437,-0.5645557191948833,1.19225037257823,-3.9140811455847198,0.07165034631000988,-2.172897196261685,0.07014262333411536,0.6116207951070256
53,AGROPHOS,Agro Phos India Limited,1.1178861788617827,-0.40485829959513314,-0.4032258064516186,-6.149479659413434,6.767676767676771,-1.0989010989010932,-6.710158434296368,-5.628847845206689,2.617328519855601,-3.146853146853154,-4.666666666666662,7.526881720430113,19.999999999999993,-2.8213166144200654
54,AGSTRA,AGS Transact Technologies Limited,,,,,,,,,,,,,,
55,AHL,Abans Holdings Limited,-0.8406026962727922,-0.3319633259563741,-0.15782828282828282,0.39613373474885116,0.3338632750397493,-2.0096588253622025,-1.458397298127111,2.3087796450447513,-0.3755280863714563,-1.5102481121898528,-0.18458698661745046,1.214385801027568,0.8161983989954373,-2.4797183529771822
56,AHLADA,Ahlada Engineers Limited,-0.2359418010224234,-4.827844311377237,-3.468208092485557,0.0,8.67687475461328,-3.705103969754257,-4.062386652158139,-1.3948497854077373,-1.687763713080153,0.10559662090811493,6.724267468069134,1.6030534351144994,4.216388225934763,1.2077294685990339
57,AHLEAST,Asian Hotels (East) Limited,0.6176652254478072,4.082288653166181,2.9791459781529293,5.6663168940189035,-4.445187165775405,-2.3498694516971246,-12.482147957726376,-1.5743604160809574,1.9489825164803705,2.5573192239858873,-1.3627138300956767,-1.0329985652797768,4.185351270553064,2.5758969641214278
58,AHLUCONT,Ahluwalia Contracts (India) Limited,2.9006181645268665,3.4075822392683266,2.0575099111757913,-0.3500525078761814,10.854260213980817,1.679724930950915,-0.5214758326791623,-1.0486600454974124,0.18343524180099802,0.7560907308877065,0.9270250409812951,2.2187554168833343,-1.9655602129828957,2.6872964169381133
59,AIAENG,AIA Engineering Limited,-1.1828738225434359,1.6256897847094485,0.35880502327033054,-2.1734430440920316,-0.9498015997984459,0.931953415043485,-0.09653490498933498,0.021597997738560276,-4.693232591085768,-6.640214331739407,2.309631754256115,-3.093338115305299,2.405656046276747,6.063520274629609
60,AIRAN,Airan Limited,,,,,,,,,,,,,,
61,AIROLAM,Airo Lam limited,19.98738965952082,-2.1591610117211597,4.919093851132683,6.112637362637367,1.392757660167131,2.9759770527070675,-5.232755691471299,-2.9033322335862786,-2.067851373182545,4.525498142519411,-2.21268163804491,-4.268099905153335,-6.558345642540616,13.32440575828591
62,AJANTPHARM,Ajanta Pharma Limited,-1.1264314092077545,-0.601639991637428,-0.03715314060142491,1.8133245070688877,-1.9245038026340195,-0.6862248422604011,0.2423766764386787,-1.6705631341216935,-2.418658220558591,-0.42784994376200397,4.701318493546087,-0.14065670540491523,-0.5891117478509987,0.32195009773485106
63,AJMERA,Ajmera Realty & Infra India Limited,0.43069971051331896,-2.1554404145077752,0.36053525618803617,5.9190717485496,-1.1254719721173396,1.2498162034994853,8.296178343949048,-4.9780602209108755,-3.5041611914148048,-3.603096410978188,19.996622192197258,-1.3988343047460412,4.334983928416306,-0.5357297157176225
64,AJOONI,Ajooni Biotech Limited,,,,,,,,,,,,,,
65,AJRINFRA,AJR INFRA AND TOLLING LIMITED,,,,,,,,,,,,,,
66,AKASH,Akash Infra-Projects Limited,,,,,,,,,,,,,,
67,AKG,Akg Exim Limited,-2.1231422505307855,0.21276595744681154,12.980769230769226,-0.47846889952152094,-0.2386634844868769,-1.6431924882629174,-3.6199095022624466,-2.2123893805309733,-0.8771929824561372,-0.4366812227074143,0.8810572687224639,-0.6564551422319568,-0.652173913043472,-1.9189765458422146
68,AKI,AKI India Limited,,,,,,,,,,,,,,
69,AKSHAR,Akshar Spintex Limited,,,,,,,,,,,,,,
70,AKSHARCHEM,AksharChem India Limited,1.3670020884754,0.07600228006841933,-1.4419475655430798,0.7357102433503069,1.571182218815874,-2.0457957957957915,-0.9112888227636398,-2.7667269439421256,-0.25252525252524843,-0.036062026685907946,1.0384405173984415,-1.6308243727598606,0.9406657018813398,-1.5844756987716022
71,AKSHOPTFBR,Aksh Optifibre Limited,,,,,,,,,,,,,,
72,AKZOINDIA,Akzo Nobel India Limited,0.4770296007546906,-1.1054586421165533,1.455513090688288,-0.14088777129813895,2.058534454515678,-1.6609987470914653,-2.865190027469665,1.1946022977181259,-0.8201155141426303,-2.2681150769965384,7.3482837528604055,1.8173345759552657,2.0058940963969962,0.6718474848786533
73,ALANKIT,Alankit Limited,,,,,,,,,,,,,,
74,ALBERTDAVD,Albert David Limited,-1.7193507048269874,-0.7805601667078855,3.5816199604887715,0.29353489396051957,1.9412754815784588,2.3545176110260337,-5.8840485713256285,-0.3876386346505771,-1.908249128613184,0.616387403025261,-2.149121286699712,1.9255228942905596,1.404413872169686,-2.7049637479085455
75,ALEMBICLTD,Alembic Limited,-0.29282576866764,0.4904364884747425,4.725218284540327,-3.804347826086965,4.11522633744856,-0.8669046404895403,-3.7782139352306268,-2.906145783706524,3.5520473606314837,-2.077294685990344,1.769911504424776,5.9375000000000036,-2.0408163265306123,4.533333333333333
76,ALICON,Alicon Castalloy Limited,-0.14524718919791518,0.8517795138888914,-0.10297544848516955,1.7032300738617496,2.869131322295313,-2.1363964263914323,-6.6366179670500545,0.015544846883255843,-2.2241361840105314,1.8104915665136383,-0.03609363720738607,-3.5843897588863984,1.3452237001209213,-0.14589726819943105
77,ALKALI,Alkali Metals Limited,-3.711256117455136,-0.8090614886731393,-0.3627569528415984,0.4046944556859571,3.3891213389121315,-3.121199837859744,-5.005775895263766,-4.627249357326487,0.8518518518518561,-4.896090172595977,0.9242801279772364,-3.3665407076606013,1.4285714285714366,-4.746100232326588
78,ALKEM,Alkem Laboratories Limited,-1.2609994791523889,0.5004959041986555,2.5242206551110558,1.3889419221810684,-1.0512992471828324,2.798411449988823,-3.3512265620600856,0.3153742598119052,3.574597540879691,1.2368711995577775,2.866542784902664,0.12912540415235504,1.29666821154539,-2.8282343051010335
79,ALKYLAMINE,Alkyl Amines Chemicals Limited,-0.665617270069718,0.1260863691628848,1.0488476326985519,-0.5093032731223686,0.2155025746886555,1.7049649317091304,-2.296959177693135,0.04961548002976518,-1.1635423400129241,-0.8881033911410543,1.8977083427130743,-3.792259545621908,-2.312444463250543,-0.7371316966629451
80,ALLCARGO,Allcargo Logistics Limited,13.73333333333333,-1.3157894736842104,0.33003300330033003,4.989604989604982,-1.8367346938775433,-2.842035690680774,-2.763496143958858,-0.3841229193341833,-0.44614404079032316,-1.9987507807620166,0.5021971123665931,0.4413619167717636,0.06309148264983869,-2.4014778325123185
81,ALLSEC,Allsec Technologies Limited,-4.439746300211406,11.152746903778972,6.177085440690532,1.401805251641138,1.4076693710561115,1.6422328728502928,-0.8941044984632548,-2.045843311666103,-3.346339527809002,-1.9326804591737583,2.092299543137134,-1.461473217198414,-0.5902192242832994,-2.0083894750222533
82,ALMONDZ,Almondz Global Securities Limited,,,,,,,,,,,,,,
83,ALOKINDS,Alok Industries Limited,,,,,,,,,,,,,,
84,ALPA,Alpa Laboratories Limited,2.6213592233009737,-0.145419292292783,1.6757023164120284,1.2475049900199602,-0.8411677387431908,-1.7978620019436429,-3.289473684210526,-2.1609195402298798,-0.7302601551802803,7.2967678746327165,1.4910536779324057,-2.4248302618816684,2.383316782522335,0.499001996007984
85,ALPHAGEO,Alphageo (India) Limited,7.366353304335625,-1.3700525878771073,2.4528569403090983,-0.9549220615082246,0.5790960451977434,1.4326647564469914,-5.394415830848462,0.7373020207536835,-6.569715524939405,-0.4824171638948925,16.713587198103433,-5.077355836849511,0.7938758151403491,-3.961878829135469
86,ALPSINDUS,Alps Industries Limited,-4.1666666666666705,0.0,4.347826086956526,4.545454545454529,4.761904761904765,5.000000000000004,2.5641025641025665,2.631578947368424,0.0,2.7027027027026933,2.77777777777778,-5.263157894736835,-2.5641025641025665,-2.500000000000002
87,AMARAJABAT,Amara Raja Batteries Limited,,,,,,,,,,,,,,
88,AMBER,Amber Enterprises India Limited,-0.6246996636232558,2.348134229542099,1.2564963671421046,1.4640529650311598,7.087062088102673,-2.5117675701996403,-11.089197022356373,-1.7162106258495446,-4.2052106568235565,-1.6831606015740748,2.759125590546686,-1.6194377546197263,-2.4535364956692614,2.6504096190036046
89,AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,2.2471910112359472,1.4245014245014245,2.034883720930241,-4.311543810848413,0.9831460674157343,-5.444887118193884,-4.441624365482234,-0.12674271229405387,12.553495007132684,0.8633093525179775,0.7246376811594203,0.29069767441860883,0.5847953216374144,-3.5260930888575452
90,AMBIKCO,Ambika Cotton Mills Limited,-0.6756341748049874,-0.9882324322680694,-0.26081945834471726,-1.5231610070782187,2.563866936224967,0.6722585420007317,-2.4457747961854253,-2.324283027738596,-4.191886489682163,1.2340401276789708,-0.19342359767890907,0.7392973809387279,-0.020054433462249478,0.060199518403850155
91,AMBUJACEM,Ambuja Cements Limited,0.675386851329389,-0.04272773884806016,2.2455220620358274,0.23646873357856418,0.46634403871535013,0.8429458740017746,-2.204095800069428,2.2809976036211985,-0.8535726856740623,0.2823861630780132,2.090090090090094,-0.4305705059203404,-1.3538624900451248,0.847760128502588
92,AMDIND,AMD Industries Limited,,,,,,,,,,,,,,
93,AMIORG,Ami Organics Limited,-1.4908000179074956,1.95353507690902,-0.31848582738068154,0.013651255915552508,-0.01819836214741087,4.8014113383874415,-4.992072480181192,-0.2710639259091936,0.21732240684566406,-1.9532117015137394,-1.391989494418918,0.24573259028478253,0.14061607417499114,-2.1919456741307433
94,AMJLAND,Amj Land Holdings Limited,-1.7587939698492359,1.0152284263959355,4.509283819628636,-0.5277044854881154,3.129251700680268,-0.13586956521738358,-5.032258064516136,-2.760351317440405,2.0486555697823414,-2.6184538653366687,1.9059720457433291,-8.381839348079165,-1.2643678160919474,1.7543859649122806
95,AMRUTANJAN,Amrutanjan Health Care Limited,-0.11519852545887413,-0.9433244579688164,-0.03802281368821293,2.120059019958061,0.4054580896686195,1.4636075949367089,7.794644380010242,0.6696428571428533,-1.3132254511564858,3.0199877803962565,-0.2524812815601484,0.11330950928265969,-0.13926364348508455,-0.8799930980933327
96,ANANDRATHI,Anand Rathi Wealth Limited,0.05155338488672069,1.0792205477009973,1.9004234031552616,3.505980705535234,2.6562731997030387,3.028912345112437,-4.326317946316196,0.5237604825658432,-1.5669350634304555,1.6083226651363352,-2.0735467880918836,5.606111330918838,2.2356363862656914,5.087877053870675
97,ANANTRAJ,Anant Raj Limited,-0.26000288892098145,-2.2865208186309167,2.591949029829131,1.1275442963830788,1.879755333432795,-2.203093084330322,-1.0109763142692085,0.8300567933595357,6.218097447795831,-1.2373968835930373,0.22967386311437757,1.114723641430569,2.605242255758535,-1.0531279471864263
98,ANDHRAPAP,ANDHRA PAPER LIMITED,5.107778819119025,0.14077897700610043,0.2163280662151951,2.2897825668654948,2.4140309390087804,-2.3195380173243527,-1.075883081024465,-1.1482352941176512,-1.9924361221289468,-1.642170205044469,3.6876763875823184,-9.052019164955507,-5.168356997971606,-0.7808726453067175
99,ANDHRSUGAR,The Andhra Sugars Limited,1.0133578995854524,0.3234750462107156,0.8857808857808884,-0.46403712296983757,1.650943396226415,-0.9345794392523363,-3.8202247191011236,-2.154793315743186,-1.0013060513713465,0.0,0.6132282084975809,1.0176991150442527,1.7101710171017155,0.09009009009008498
100,ANDREWYU,Andrew Yule & Company Limited,,,,,,,,,,,,,,
101,ANGELONE,Angel One Limited,-2.485020205304473,-1.3984092331648987,0.165150240844104,-0.18621121235709537,0.39227103476807673,1.8366518943886263,-5.601956191907142,-0.11917372881356467,1.5964125560538143,6.783719074221868,-2.491790011050417,-3.768328665358627,-0.6103279396221921,2.2372045596359595
102,ANIKINDS,Anik Industries Limited,,,,,,,,,,,,,,
103,ANKITMETAL,Ankit Metal & Power Limited,,,,,,,,,,,,,,
104,ANMOL,Anmol India Limited,-4.362416107382552,8.166969147005444,-2.0444444444444416,0.0,-1.4886164623467626,0.08764241893076996,-3.3869602032176123,0.767918088737194,0.8605851979345954,-4.987735077677837,0.16380016380016613,1.665278934221482,-0.8257638315441783,-1.9433198380566847
105,ANSALAPI,Ansal Properties & Infrastructure Limited,,,,,,,,,,,,,,
106,ANTGRAPHIC,Antarctica Limited,,,,,,,,,,,,,,
107,ANUP,The Anup Engineering Limited,-1.6047459881350263,-2.112169384678638,6.509998540359074,1.9380277498791023,1.4816632377644814,-1.7323564870629626,-12.888580107283653,-0.39268700914124727,3.520317211735504,0.692836772353635,1.6056453262425823,-2.7064676616915393,2.3873399667198756,0.06796479423658545
108,ANURAS,Anupam Rasayan India Limited,-1.0883690708252063,1.9036583347127962,1.7745830291458364,4.938417113560019,1.6777518125711548,0.4816665663194653,-9.978319783197827,1.4795665804961273,0.08808147536470735,-1.0135687428477962,0.24034522313868267,-3.677785962327679,1.538625921572815,-1.4115664173601576
109,APARINDS,Apar Industries Limited,-0.12063111643699112,1.7327275830400815,0.734367068917516,0.6708864932581646,2.5612415681898866,-0.7133745132268027,-3.0953658972982527,-1.2980132450331183,-3.313309118003164,1.9835678893127988,4.308124174372517,-4.23025223373132,0.34195764802958106,-0.3061079208390737
110,APCL,Anjani Portland Cement Limited,2.0060648472125084,-0.4181184668989573,-0.46242774566473993,2.536747273589376,-1.0091527810373178,-2.494279176201368,0.09161704076957793,-2.0197486535008977,0.42821726391706877,0.4300588501584376,0.9597806215722093,-4.0140381662645215,1.4915405164737285,3.406998158379377
111,APCOTEXIND,Apcotex Industries Limited,-0.2595514950166113,0.9431984908824145,1.3596770766942923,2.851524090462146,-0.3483941208492156,0.2400960384153711,-2.3238460718473584,0.600536193029493,-0.9979828007219426,1.246909599054071,-0.09664948453609223,-1.968628276660694,-1.9204956117707819,0.790925174315748
