,SYMBOL,NAME OF COMPANY,cm30OCT2023bhav.csv,cm27OCT2023bhav.csv,cm26OCT2023bhav.csv,cm25OCT2023bhav.csv,cm23OCT2023bhav.csv,cm20OCT2023bhav.csv,cm19OCT2023bhav.csv,cm18OCT2023bhav.csv,cm17OCT2023bhav.csv,cm16OCT2023bhav.csv,cm13OCT2023bhav.csv,cm12OCT2023bhav.csv,cm11OCT2023bhav.csv,cm10OCT2023bhav.csv,cm09OCT2023bhav.csv,cm06OCT2023bhav.csv,cm05OCT2023bhav.csv,cm04OCT2023bhav.csv,cm03OCT2023bhav.csv
59,AIAENG,AIA Engineering Limited,-1.2362093352192312,3.1048110717358597,0.027716186252779582,0.5839715937435834,-1.718916736365482,-1.983066898472053,0.6830892712291338,0.3312534803032657,0.9731553300077852,2.5837462101604647,0.39495760887318837,-1.8407858683612222,-0.937035272375515,1.540829790353326,-0.8618810226298299,-0.47446152955982385,-1.3738693754101532,-0.8122488254938662,0.5892902895208891
60,AIRAN,Airan Limited,,,,,,,,,,,,,,,,,,,
61,AIROLAM,Airo Lam limited,,,,,,,,,,,,,,,,,,,
62,AJANTPHARM,Ajanta Pharma Limited,-0.09112136226437362,2.8225098085143783,-0.6284550480069802,-0.42010719976821675,-1.5825491873396065,-1.0412257682214534,-1.1684979641920934,1.0112960928476884,0.855162225126425,-1.0040781887216936,-0.12079330299455536,1.7579967412743331,-1.6751454509682653,2.2091353059465697,-0.3977223954905746,-0.6312018424269944,-0.9128046203690686,-0.9515570934256029,-0.45002500138897367
63,AJMERA,Ajmera Realty & Infra India Limited,-1.784098254686484,2.1661603486989796,2.964776281789755,-0.5006765899864744,-8.494304110946016,-2.144674663758625,-1.9251336898395774,-2.513901760889718,5.37109375,-0.8472524812394093,-1.713062098501068,-0.29652473016249553,-0.3192244029321272,13.378016085790879,-4.518110840906176,4.591700133868803,0.3897325628275739,-2.3618947644666055,0.30271123979995634
64,AJOONI,Ajooni Biotech Limited,11.49425287356322,3.5714285714285587,0.0,-2.3255813953488293,-4.444444444444448,-1.098901098901095,1.1111111111111072,-1.098901098901095,0.0,-1.0869565217391266,0.0,0.0,0.0,2.2222222222222143,-2.173913043478253,2.2222222222222143,1.1235955056179736,-2.19780219780219,1.1111111111111072
65,AJRINFRA,AJR INFRA AND TOLLING LIMITED,,,,,,,,,,,,,,,,,,,
66,AKASH,Akash Infra-Projects Limited,2.7118644067796636,5.169340463458108,-0.88339222614841,-5.351170568561866,-5.826771653543312,-1.3975155279503193,-1.3782542113322993,5.152979066022537,7.625649913344884,-1.8707482993197182,0.17035775127767344,-1.3445378151260456,-2.6186579378068764,6.260869565217393,-3.685092127303187,-2.2913256955810124,0.0,0.991735537190085,3.0664395229982917
67,AKG,Akg Exim Limited,0.0,-1.4314928425357787,1.8749999999999971,-2.0408163265306123,-2.1956087824351327,1.4170040485830018,-1.397205588822361,-4.5714285714285685,1.744186046511625,0.19417475728155617,0.0,7.96645702306079,0.0,0.0,1.7057569296375357,1.0775862068965518,0.6507592190889309,-2.7426160337552683,-5.01002004008016
68,AKI,AKI India Limited,,,,,,,,,,,,,,,,,,,
69,AKSHAR,Akshar Spintex Limited,0.7042253521126861,0.0,-0.6993006993007091,0.7042253521126861,0.0,-0.6993006993007091,4.379562043795631,-2.8368794326241162,3.6764705882352944,4.615384615384613,0.7751937984496096,-2.272727272727265,4.761904761904759,1.6129032258064457,-2.3622047244094406,,,,
70,AKSHARCHEM,AksharChem India Limited,1.3073170731707404,2.173046251993616,-1.5891701000588516,-2.4310872894333824,-5.379460242709662,-0.8619141677141238,-0.25076123947697965,-0.6053053231262401,-0.07116171499732739,-0.7416563658837952,-1.0484011881880133,-0.15701325889743387,0.5967005967006127,-0.3846153846153926,2.1976058602822857,0.8105187319884726,0.05406379527844084,-1.9438063262060434,-1.514096762965549
71,AKSHOPTFBR,Aksh Optifibre Limited,,,,,,,,,,,,,,,,,,,
72,AKZOINDIA,Akzo Nobel India Limited,0.20443141222872666,0.2712439953619234,0.031068122035583356,-1.0046954132578785,-0.13514343632900166,-0.5720916975446957,-0.3772513386337712,-0.28516533522095994,0.6493506493506419,-1.0314678270679685,-0.06442520636198545,0.05640385157729709,0.10889731386625062,0.527084009082063,-1.6528101760472047,0.1397568231277577,-0.352140697119207,0.38545265722672345,-0.20130750219244709
73,ALANKIT,Alankit Limited,-1.9999999999999927,0.5025125628140775,-0.5000000000000071,0.5025125628140775,-6.572769953051654,0.0,0.0,0.0,-0.4672897196261583,-0.46511627906977404,-1.8264840182648339,-1.7937219730941798,1.82648401826485,0.9216589861751119,-6.060606060606069,1.3157894736842135,4.587155963302751,0.0,0.4608294930875642
74,ALBERTDAVD,Albert David Limited,1.565079170997121,2.301582337857274,-3.558718861209964,-1.0090757105325927,-1.5807721690074685,-1.3507246376811568,3.287228309682061,-1.1482687185557912,-0.6819117041914002,1.4370900417411991,-0.9860069669953384,-1.6491492944660509,1.1928546245152165,3.396318123822824,-1.9597331427209832,0.5269461077844284,4.153673443931639,2.887577002053388,0.5678884873515864
75,ALEMBICLTD,Alembic Limited,2.1183800623052993,1.0069225928256729,1.4039566049776753,1.4239482200647176,-9.22444183313748,-3.4600113442995024,5.253731343283588,-0.8875739644970414,1.4405762304922003,0.7864488808227361,4.620253164556969,0.1267427122940359,1.8721755971594614,3.4045393858477926,-2.8534370946822163,0.19493177387913121,-0.12978585334197834,-1.0276172125883074,-1.3307984790874667
