,SYMBOL,NAME OF COMPANY
632,GRMOVER,GRM Overseas Limited
633,GROBTEA,The Grob Tea Company Limited
634,GRPLTD,GRP Limited
635,GRSE,Garden Reach Shipbuilders & Engineers Limited
636,GRWRHITECH,Garware Hi-Tech Films Limited
637,GSFC,Gujarat State Fertilizers & Chemicals Limited
638,GSLSU,Global Surfaces Limited
639,GSPL,Gujarat State Petronet Limited
640,GSS,GSS Infotech Limited
641,GTL,GTL Limited
642,GTLINFRA,GTL Infrastructure Limited
643,GTPL,GTPL Hathway Limited
644,GUFICBIO,Gufic Biosciences Limited
645,GUJALKALI,Gujarat Alkalies and Chemicals Limited
646,GUJAPOLLO,Gujarat Apollo Industries Limited
647,GUJGASLTD,Gujarat Gas Limited
648,GUJRAFFIA,Gujarat Raffia Industries Limited
649,GULFOILLUB,Gulf Oil Lubricants India Limited
650,GULFPETRO,GP Petroleums Limited
651,GULPOLY,Gulshan Polyols Limited
652,GVKPIL,GVK Power & Infrastructure Limited
653,HAL,Hindustan Aeronautics Limited
654,HAPPSTMNDS,Happiest Minds Technologies Limited
655,HARDWYN,Hardwyn India Limited
656,HARIOMPIPE,Hariom Pipe Industries Limited
657,HARRMALAYA,Harrisons  Malayalam Limited
658,HARSHA,Harsha Engineers International Limited
659,HATHWAY,Hathway Cable & Datacom Limited
660,HATSUN,Hatsun Agro Product Limited
661,HAVELLS,Havells India Limited
662,HAVISHA,Sri Havisha Hospitality and Infrastructure Limited
663,HBLPOWER,HBL Power Systems Limited
664,HBSL,HB Stockholdings Limited
665,HCC,Hindustan Construction Company Limited
666,HCG,Healthcare Global Enterprises Limited
667,HCL-INSYS,HCL Infosystems Limited
668,HCLTECH,HCL Technologies Limited
669,HDFC,Housing Development Finance Corporation Limited
670,HDFCAMC,HDFC Asset Management Company Limited
671,HDFCBANK,HDFC Bank Limited
672,HDFCLIFE,HDFC Life Insurance Company Limited
673,HDIL,Housing Development and Infrastructure Limited
674,HEADSUP,Heads UP Ventures Limited
675,HECPROJECT,HEC Infra Projects Limited
676,HEG,HEG Limited
677,HEIDELBERG,HeidelbergCement India Limited
678,HEMIPROP,Hemisphere Properties India Limited
679,HERANBA,Heranba Industries Limited
680,HERCULES,Hercules Hoists Limited
681,HERITGFOOD,Heritage Foods Limited
682,HEROMOTOCO,Hero MotoCorp Limited
683,HESTERBIO,Hester Biosciences Limited
684,HEUBACHIND,Heubach Colorants India Limited
685,HEXATRADEX,Hexa Tradex Limited
686,HFCL,HFCL Limited
687,HGINFRA,H.G. Infra Engineering Limited
688,HGS,Hinduja Global Solutions Limited
689,HIKAL,Hikal Limited
690,HIL,HIL Limited
691,HILTON,Hilton Metal Forging Limited
692,HIMATSEIDE,Himatsingka Seide Limited
693,HINDALCO,Hindalco Industries Limited
694,HINDCOMPOS,Hindustan Composites Limited
695,HINDCON,Hindcon Chemicals Limited
696,HINDCOPPER,Hindustan Copper Limited
697,HINDMOTORS,Hindustan Motors Limited
698,HINDNATGLS,Hindusthan National Glass & Industries Limited
699,HINDOILEXP,Hindustan Oil Exploration Company Limited
700,HINDPETRO,Hindustan Petroleum Corporation Limited
701,HINDUNILVR,Hindustan Unilever Limited
702,HINDWAREAP,Hindware Home Innovation Limited
703,HINDZINC,Hindustan Zinc Limited
704,HIRECT,Hind Rectifiers Limited
705,HISARMETAL,Hisar Metal Industries Limited
706,HITECH,Hi-Tech Pipes Limited
707,HITECHCORP,Hitech Corporation Limited
708,HITECHGEAR,The Hi-Tech Gears Limited
709,HLEGLAS,HLE Glascoat Limited
710,HLVLTD,HLV LIMITED
711,HMT,HMT Limited
712,HMVL,Hindustan Media Ventures Limited
713,HNDFDS,Hindustan Foods Limited
714,HOMEFIRST,Home First Finance Company India Limited
715,HONAUT,Honeywell Automation India Limited
716,HONDAPOWER,Honda India Power Products Limited
717,HOVS,HOV Services Limited
718,HPAL,HP Adhesives Limited
719,HPIL,Hindprakash Industries Limited
720,HPL,HPL Electric & Power Limited
721,HSCL,Himadri Speciality Chemical Limited
722,HTMEDIA,HT Media Limited
723,HUBTOWN,Hubtown Limited
724,HUDCO,Housing & Urban Development Corporation Limited
725,HUHTAMAKI,Huhtamaki India Limited
726,HYBRIDFIN,Hybrid Financial Services Limited
727,IBREALEST,Indiabulls Real Estate Limited
728,IBULHSGFIN,Indiabulls Housing Finance Limited
729,ICDSLTD,ICDS Limited
730,ICEMAKE,Ice Make Refrigeration Limited
731,ICICIBANK,ICICI Bank Limited
732,ICICIGI,ICICI Lombard General Insurance Company Limited
733,ICICIPRULI,ICICI Prudential Life Insurance Company Limited
734,ICIL,Indo Count Industries Limited
735,ICRA,ICRA Limited
736,IDBI,IDBI Bank Limited
737,IDEA,Vodafone Idea Limited
738,IDFC,IDFC Limited
739,IDFCFIRSTB,IDFC First Bank Limited
740,IEL,Indiabulls Enterprises Limited
741,IEX,Indian Energy Exchange Limited
742,IFBAGRO,IFB Agro Industries Limited
743,IFBIND,IFB Industries Limited
744,IFCI,IFCI Limited
745,IFGLEXPOR,IFGL Refractories Limited
746,IGARASHI,Igarashi Motors India Limited
747,IGL,Indraprastha Gas Limited
748,IGPL,IG Petrochemicals Limited
749,IIFL,IIFL Finance Limited
750,IIFLSEC,IIFL Securities Limited
751,IITL,Industrial Investment Trust Limited
752,IL&FSENGG,IL&FS Engineering and Construction Company Limited
753,IL&FSTRANS,IL&FS Transportation Networks Limited
754,IMAGICAA,Imagicaaworld Entertainment Limited
755,IMFA,Indian Metals & Ferro Alloys Limited
756,IMPAL,India Motor Parts and Accessories Limited
757,IMPEXFERRO,Impex Ferro Tech Limited
758,INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED
759,INDBANK,Indbank Merchant Banking Services Limited
760,INDHOTEL,The Indian Hotels Company Limited
761,INDIACEM,The India Cements Limited
762,INDIAGLYCO,India Glycols Limited
763,INDIAMART,Indiamart Intermesh Limited
764,INDIANB,Indian Bank
765,INDIANCARD,Indian Card Clothing Company Limited
766,INDIANHUME,Indian Hume Pipe Company Limited
767,INDIGO,InterGlobe Aviation Limited
768,INDIGOPNTS,Indigo Paints Limited
769,INDLMETER,IMP Powers Limited
770,INDNIPPON,India Nippon Electricals Limited
771,INDOAMIN,Indo Amines Limited
772,INDOBORAX,Indo Borax & Chemicals Limited
773,INDOCO,Indoco Remedies Limited
774,INDORAMA,Indo Rama Synthetics (India) Limited
775,INDOSTAR,IndoStar Capital Finance Limited
776,INDOTECH,Indo Tech Transformers Limited
777,INDOTHAI,Indo Thai Securities Limited
778,INDOWIND,Indowind Energy Limited
779,INDRAMEDCO,Indraprastha Medical Corporation Limited
780,INDSWFTLAB,Ind-Swift Laboratories Limited
781,INDSWFTLTD,Ind-Swift Limited
782,INDTERRAIN,Indian Terrain Fashions Limited
783,INDUSINDBK,IndusInd Bank Limited
784,INDUSTOWER,Indus Towers Limited
785,INFIBEAM,Infibeam Avenues Limited
786,INFOBEAN,InfoBeans Technologies Limited
787,INFOMEDIA,Infomedia Press Limited
788,INFY,Infosys Limited
789,INGERRAND,Ingersoll Rand (India) Limited
790,INOXGREEN,Inox Green Energy Services Limited
791,INOXWIND,Inox Wind Limited
792,INSECTICID,Insecticides (India) Limited
793,INSPIRISYS,Inspirisys Solutions Limited
794,INTELLECT,Intellect Design Arena Limited
795,INTENTECH,Intense Technologies Limited
796,INTLCONV,International Conveyors Limited
797,INVENTURE,Inventure Growth & Securities Limited
798,IOB,Indian Overseas Bank
799,IOC,Indian Oil Corporation Limited
800,IOLCP,IOL Chemicals and Pharmaceuticals Limited
801,IONEXCHANG,ION Exchange (India) Limited
802,IPCALAB,IPCA Laboratories Limited
803,IPL,India Pesticides Limited
804,IRB,IRB Infrastructure Developers Limited
805,IRCON,Ircon International Limited
806,IRCTC,Indian Railway Catering And Tourism Corporation Limited
807,IRFC,Indian Railway Finance Corporation Limited
808,IRIS,Iris Business Services Limited
809,IRISDOREME,Iris Clothings Limited
810,ISEC,ICICI Securities Limited
811,ISFT,Intrasoft Technologies Limited
812,ISGEC,Isgec Heavy Engineering Limited
813,ISMTLTD,ISMT Limited
814,ITC,ITC Limited
815,ITDC,India Tourism Development Corporation Limited
816,ITDCEM,ITD Cementation India Limited
817,ITI,ITI Limited
818,IVC,IL&FS Investment Managers Limited
819,IVP,IVP Limited
820,IWEL,Inox Wind Energy Limited
821,IZMO,IZMO Limited
822,J&KBANK,The Jammu & Kashmir Bank Limited
823,JAGRAN,Jagran Prakashan Limited
824,JAGSNPHARM,Jagsonpal Pharmaceuticals Limited
825,JAIBALAJI,Jai Balaji Industries Limited
826,JAICORPLTD,Jai Corp Limited
827,JAIPURKURT,Nandani Creation Limited
828,JAMNAAUTO,Jamna Auto Industries Limited
829,JASH,Jash Engineering Limited
830,JAYAGROGN,Jayant Agro Organics Limited
831,JAYBARMARU,Jay Bharat Maruti Limited
832,JAYNECOIND,Jayaswal Neco Industries Limited
833,JAYSREETEA,Jayshree Tea & Industries Limited
834,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited
835,JBFIND,JBF Industries Limited
836,JBMA,JBM Auto Limited
837,JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited
838,JETAIRWAYS,Jet Airways (India) Limited
839,JETFREIGHT,Jet Freight Logistics Limited
840,JHS,JHS Svendgaard Laboratories Limited
841,JINDALPHOT,Jindal Photo Limited
842,JINDALPOLY,Jindal Poly Films Limited
843,JINDALSAW,Jindal Saw Limited
844,JINDALSTEL,Jindal Steel & Power Limited
845,JINDRILL,Jindal Drilling And Industries Limited
846,JINDWORLD,Jindal Worldwide Limited
847,JISLDVREQS,Jain Irrigation Systems Limited
848,JISLJALEQS,Jain Irrigation Systems Limited
849,JITFINFRA,JITF Infralogistics Limited
850,JKCEMENT,JK Cement Limited
851,JKIL,J.Kumar Infraprojects Limited
852,JKLAKSHMI,JK Lakshmi Cement Limited
853,JKPAPER,JK Paper Limited
854,JKTYRE,JK Tyre & Industries Limited
855,JMA,Jullundur Motor Agency (Delhi) Limited
856,JMFINANCIL,JM Financial Limited
857,JOCIL,Jocil Limited
858,JPASSOCIAT,Jaiprakash Associates Limited
859,JPOLYINVST,Jindal Poly Investment and Finance Company Limited
860,JPPOWER,Jaiprakash Power Ventures Limited
861,JSL,Jindal Stainless Limited
862,JSWENERGY,JSW Energy Limited
863,JSWHL,JSW Holdings Limited
864,JSWISPL,JSW Ispat Special Products Limited
865,JSWSTEEL,JSW Steel Limited
866,JTEKTINDIA,Jtekt India Limited
867,JTLIND,JTL INDUSTRIES LIMITED
868,JUBLFOOD,Jubilant Foodworks Limited
869,JUBLINDS,Jubilant Industries Limited
870,JUBLINGREA,Jubilant Ingrevia Limited
871,JUBLPHARMA,Jubilant Pharmova Limited
872,JUSTDIAL,Just Dial Limited
873,JWL,Jupiter Wagons Limited
874,JYOTHYLAB,Jyothy Labs Limited
875,JYOTISTRUC,Jyoti Structures Limited
876,KABRAEXTRU,Kabra Extrusion Technik Limited
877,KAJARIACER,Kajaria Ceramics Limited
878,KAKATCEM,Kakatiya Cement Sugar & Industries Limited
879,KALPATPOWR,Kalpataru Power Transmission Limited
880,KALYANI,Kalyani Commercials Limited
881,KALYANIFRG,Kalyani Forge Limited
882,KALYANKJIL,Kalyan Jewellers India Limited
883,KAMATHOTEL,Kamat Hotels (I) Limited
884,KAMDHENU,Kamdhenu Limited
885,KAMOPAINTS,Kamdhenu Ventures Limited
886,KANANIIND,Kanani Industries Limited
887,KANORICHEM,Kanoria Chemicals & Industries Limited
888,KANPRPLA,Kanpur Plastipack Limited
889,KANSAINER,Kansai Nerolac Paints Limited
890,KAPSTON,Kapston Services Limited
891,KARMAENG,Karma Energy Limited
892,KARURVYSYA,Karur Vysya Bank Limited
893,KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited
894,KAVVERITEL,Kavveri Telecom Products Limited
895,KAYA,Kaya Limited
896,KAYNES,Kaynes Technology India Limited
897,KBCGLOBAL,KBC Global Limited
898,KCP,KCP Limited
899,KCPSUGIND,KCP Sugar and Industries Corporation Limited
900,KDDL,KDDL Limited
901,KEC,KEC International Limited
902,KECL,Kirloskar Electric Company Limited
903,KEEPLEARN,DSJ Keep Learning Limited
904,KEERTI,Keerti Knowledge and Skills Limited
905,KEI,KEI Industries Limited
906,KELLTONTEC,Kellton Tech Solutions Limited
907,KENNAMET,Kennametal India Limited
908,KERNEX,Kernex Microsystems (India) Limited
909,KESORAMIND,Kesoram Industries Limited
910,KEYFINSERV,Keynote Financial Services Limited
911,KFINTECH,Kfin Technologies Limited
912,KHADIM,Khadim India Limited
913,KHAICHEM,Khaitan Chemicals & Fertilizers Limited
914,KHAITANLTD,Khaitan (India) Limited
915,KHANDSE,Khandwala Securities Limited
916,KICL,Kalyani Investment Company Limited
917,KILITCH,Kilitch Drugs (India) Limited
918,KIMS,Krishna Institute of Medical Sciences Limited
919,KINGFA,Kingfa Science & Technology (India) Limited
920,KIOCL,KIOCL Limited
921,KIRIINDUS,Kiri Industries Limited
922,KIRLFER,Kirloskar Ferrous Industries Ltd
923,KIRLOSBROS,Kirloskar Brothers Limited
924,KIRLOSENG,Kirloskar Oil Engines Limited
925,KIRLOSIND,Kirloskar Industries Limited
926,KIRLPNU,Kirloskar Pneumatic Company Limited
927,KITEX,Kitex Garments Limited
928,KKCL,Kewal Kiran Clothing Limited
929,KMSUGAR,K.M.Sugar Mills Limited
930,KNRCON,KNR Constructions Limited
931,KOHINOOR,Kohinoor Foods Limited
932,KOKUYOCMLN,Kokuyo Camlin Limited
933,KOLTEPATIL,Kolte - Patil Developers Limited
934,KOPRAN,Kopran Limited
935,KOTAKBANK,Kotak Mahindra Bank Limited
936,KOTARISUG,Kothari Sugars And Chemicals Limited
937,KOTHARIPET,Kothari Petrochemicals Limited
938,KOTHARIPRO,Kothari Products Limited
939,KOVAI,Kovai Medical Center and Hospital Limited
940,KPIGREEN,KPI Green Energy Limited
941,KPITTECH,KPIT Technologies Limited
942,KPRMILL,K.P.R. Mill Limited
943,KRBL,KRBL Limited
944,KREBSBIO,Krebs Biochemicals and Industries Limited
945,KRIDHANINF,Kridhan Infra Limited
946,KRISHANA,Krishana Phoschem Limited
947,KRITI,Kriti Industries (India) Limited
948,KRITIKA,Kritika Wires Limited
949,KRITINUT,Kriti Nutrients Limited
950,KRSNAA,Krsnaa Diagnostics Limited
951,KSB,Ksb Limited
952,KSCL,Kaveri Seed Company Limited
953,KSHITIJPOL,Kshitij Polyline Limited
954,KSL,Kalyani Steels Limited
955,KSOLVES,Ksolves India Limited
956,KTKBANK,The Karnataka Bank Limited
957,KUANTUM,Kuantum Papers Limited
958,L&TFH,L&T Finance Holdings Limited
959,LAGNAM,Lagnam Spintex Limited
960,LAKPRE,Lakshmi Precision Screws Limited
961,LAL,Lorenzini Apparels Limited
962,LALPATHLAB,Dr. Lal Path Labs Ltd.
963,LAMBODHARA,Lambodhara Textiles Limited
964,LANDMARK,Landmark Cars Limited
965,LAOPALA,La Opala RG Limited
966,LASA,Lasa Supergenerics Limited
967,LATENTVIEW,Latent View Analytics Limited
968,LAURUSLABS,Laurus Labs Limited
969,LAXMICOT,Laxmi Cotspin Limited
970,LAXMIMACH,Lakshmi Machine Works Limited
971,LCCINFOTEC,LCC Infotech Limited
972,LEMONTREE,Lemon Tree Hotels Limited
973,LEXUS,Lexus Granito (India) Limited
974,LFIC,Lakshmi Finance & Industrial Corporation Limited
975,LGBBROSLTD,LG Balakrishnan & Bros Limited
976,LGBFORGE,LGB Forge Limited
977,LIBAS,Libas Consumer Products Limited
978,LIBERTSHOE,Liberty Shoes Limited
979,LICHSGFIN,LIC Housing Finance Limited
980,LICI,Life Insurance Corporation Of India
981,LIKHITHA,Likhitha Infrastructure Limited
982,LINC,Linc Limited
983,LINCOLN,Lincoln Pharmaceuticals Limited
984,LINDEINDIA,Linde India Limited
985,LODHA,Macrotech Developers Limited
986,LOKESHMACH,Lokesh Machines Limited
987,LOTUSEYE,Lotus Eye Hospital and Institute Limited
988,LOVABLE,Lovable Lingerie Limited
989,LOYALTEX,Loyal Textile Mills Limited
990,LPDC,Landmark Property Development Company Limited
991,LSIL,Lloyds Steels Industries Limited
992,LT,Larsen & Toubro Limited
993,LTIM,LTIMindtree Limited
994,LTTS,L&T Technology Services Limited
995,LUMAXIND,Lumax Industries Limited
996,LUMAXTECH,Lumax Auto Technologies Limited
997,LUPIN,Lupin Limited
998,LUXIND,Lux Industries Limited
999,LXCHEM,Laxmi Organic Industries Limited
1000,LYKALABS,Lyka Labs Limited
1001,LYPSAGEMS,Lypsa Gems & Jewellery Limited
1002,M&M,Mahindra & Mahindra Limited
1003,M&MFIN,Mahindra & Mahindra Financial Services Limited
1004,MAANALU,Maan Aluminium Limited
1005,MACPOWER,Macpower CNC Machines Limited
1006,MADHAV,Madhav Marbles and Granites Limited
1007,MADHUCON,Madhucon Projects Limited
1008,MADRASFERT,Madras Fertilizers Limited
1009,MAGADSUGAR,Magadh Sugar & Energy Limited
1010,MAGNUM,Magnum Ventures Limited
1011,MAHABANK,Bank of Maharashtra
1012,MAHAPEXLTD,Maha Rashtra Apex Corporation Limited
1013,MAHASTEEL,Mahamaya Steel Industries Limited
1014,MAHEPC,Mahindra EPC Irrigation Limited
1015,MAHESHWARI,Maheshwari Logistics Limited
1016,MAHINDCIE,Mahindra CIE Automotive Limited
1017,MAHLIFE,Mahindra Lifespace Developers Limited
1018,MAHLOG,Mahindra Logistics Limited
1019,MAHSCOOTER,Maharashtra Scooters Limited
1020,MAHSEAMLES,Maharashtra Seamless Limited
1021,MAITHANALL,Maithan Alloys Limited
1022,MALLCOM,Mallcom (India) Limited
1023,MALUPAPER,Malu Paper Mills Limited
1024,MANAKALUCO,Manaksia Aluminium Company Limited
1025,MANAKCOAT,Manaksia Coated Metals & Industries Limited
1026,MANAKSIA,Manaksia Limited
1027,MANAKSTEEL,Manaksia Steels Limited
1028,MANALIPETC,Manali Petrochemicals Limited
1029,MANAPPURAM,Manappuram Finance Limited
1030,MANGALAM,Mangalam Drugs And Organics Limited
1031,MANGCHEFER,Mangalore Chemicals & Fertilizers Limited
1032,MANGLMCEM,Mangalam Cement Limited
1033,MANINDS,Man Industries (India) Limited
1034,MANINFRA,Man Infraconstruction Limited
1035,MANKIND,Mankind Pharma Limited
1036,MANOMAY,Manomay Tex India Limited
1037,MANORAMA,Manorama Industries Limited
1038,MANORG,Mangalam Organics Limited
1039,MANUGRAPH,Manugraph India Limited
1040,MANYAVAR,Vedant Fashions Limited
1041,MAPMYINDIA,C.E. Info Systems Limited
1042,MARALOVER,Maral Overseas Limited
1043,MARATHON,Marathon Nextgen Realty Limited
1044,MARICO,Marico Limited
1045,MARINE,Marine Electricals (India) Limited
1046,MARKSANS,Marksans Pharma Limited
1047,MARSHALL,Marshall Machines Limited
1048,MARUTI,Maruti Suzuki India Limited
1049,MASFIN,MAS Financial Services Limited
1050,MASKINVEST,Mask Investments Limited
1051,MASTEK,Mastek Limited
1052,MATRIMONY,Matrimony.Com Limited
1053,MAWANASUG,Mawana Sugars Limited
1054,MAXHEALTH,Max Healthcare Institute Limited
1055,MAXIND,Max India Limited
1056,MAXVIL,Max Ventures and Industries Limited
1057,MAYURUNIQ,Mayur Uniquoters Ltd
1058,MAZDA,Mazda Limited
1059,MAZDOCK,Mazagon Dock Shipbuilders Limited
1060,MBAPL,Madhya Bharat Agro Products Limited
1061,MBECL,Mcnally Bharat Engineering Company Limited
1062,MBLINFRA,MBL Infrastructure Limited
1063,MCDOWELL-N,United Spirits Limited
1064,MCL,Madhav Copper Limited
1065,MCLEODRUSS,Mcleod Russel India Limited
1066,MCX,Multi Commodity Exchange of India Limited
1067,MEDANTA,Global Health Limited
1068,MEDICAMEQ,Medicamen Biotech Limited
1069,MEDICO,Medico Remedies Limited
1070,MEDPLUS,Medplus Health Services Limited
1071,MEGASOFT,Megasoft Limited
1072,MEGASTAR,Megastar Foods Limited
1073,MELSTAR,Melstar Information Technologies Limited
1074,MENONBE,Menon Bearings Limited
1075,MEP,MEP Infrastructure Developers Limited
1076,METALFORGE,Metalyst Forgings Limited
1077,METROBRAND,Metro Brands Limited
1078,METROPOLIS,Metropolis Healthcare Limited
1079,MFL,Meghmani Finechem Limited
1080,MFSL,Max Financial Services Limited
1081,MGEL,Mangalam Global Enterprise Limited
1082,MGL,Mahanagar Gas Limited
1083,MHLXMIRU,Mahalaxmi Rubtech Limited
1084,MHRIL,Mahindra Holidays & Resorts India Limited
1085,MICEL,MIC Electronics Limited
1086,MIDHANI,Mishra Dhatu Nigam Limited
1087,MINDACORP,Minda Corporation Limited
1088,MINDTECK,Mindteck (India) Limited
1089,MIRCELECTR,MIRC Electronics Limited
1090,MIRZAINT,Mirza International Limited
1091,MITCON,MITCON Consultancy & Engineering Services Limited
1092,MITTAL,Mittal Life Style Limited
1093,MMFL,MM Forgings Limited
1094,MMP,MMP Industries Limited
1095,MMTC,MMTC Limited
1096,MODIRUBBER,Modi Rubber Limited
1097,MODISONLTD,MODISON LIMITED
1098,MOHITIND,Mohit Industries Limited
1099,MOHOTAIND,Mohota Industries Limited
1100,MOIL,MOIL Limited
1101,MOKSH,Moksh Ornaments Limited
1102,MOL,Meghmani Organics Limited
1103,MOLDTECH,Mold-Tek Technologies Limited
1104,MOLDTKPAC,Mold-Tek Packaging Limited
1105,MONARCH,Monarch Networth Capital Limited
1106,MONTECARLO,Monte Carlo Fashions Limited
1107,MORARJEE,Morarjee Textiles Limited
1108,MOREPENLAB,Morepen Laboratories Limited
1109,MOTHERSON,Samvardhana Motherson International Limited
1110,MOTILALOFS,Motilal Oswal Financial Services Limited
1111,MOTOGENFIN,The Motor & General Finance Limited
1112,MPHASIS,MphasiS Limited
1113,MPSLTD,MPS Limited
1114,MRF,MRF Limited
1115,MRO-TEK,MRO-TEK Realty Limited
1116,MRPL,Mangalore Refinery and Petrochemicals Limited
1117,MSPL,MSP Steel & Power Limited
1118,MSTCLTD,Mstc Limited
1119,MSUMI,Motherson Sumi Wiring India Limited
1120,MTARTECH,Mtar Technologies Limited
1121,MTEDUCARE,MT Educare Limited
1122,MTNL,Mahanagar Telephone Nigam Limited
1123,MUKANDLTD,Mukand Limited
1124,MUKTAARTS,Mukta Arts Limited
1125,MUNJALAU,Munjal Auto Industries Limited
1126,MUNJALSHOW,Munjal Showa Limited
1127,MURUDCERA,Murudeshwar Ceramics Limited
1128,MUTHOOTCAP,Muthoot Capital Services Limited
1129,MUTHOOTFIN,Muthoot Finance Limited
1130,NACLIND,NACL Industries Limited
1131,NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited
1132,NAGREEKCAP,Nagreeka Capital & Infrastructure Limited
1133,NAGREEKEXP,Nagreeka Exports Limited
1134,NAHARCAP,Nahar Capital and Financial Services Limited
1135,NAHARINDUS,Nahar Industrial Enterprises Limited
1136,NAHARPOLY,Nahar Poly Films Limited
1137,NAHARSPING,Nahar Spinning Mills Limited
1138,NAM-INDIA,Nippon Life India Asset Management Limited
1139,NARMADA,Narmada Agrobase Limited
1140,NATCOPHARM,Natco Pharma Limited
1141,NATHBIOGEN,Nath Bio-Genes (India) Limited
1142,NATIONALUM,National Aluminium Company Limited
1143,NATNLSTEEL,National Steel And Agro Industries Limited
1144,NAUKRI,Info Edge (India) Limited
1145,NAVA,NAVA LIMITED
1146,NAVINFLUOR,Navin Fluorine International Limited
1147,NAVKARCORP,Navkar Corporation Limited
1148,NAVNETEDUL,Navneet Education Limited
1149,NAZARA,Nazara Technologies Limited
1150,NBCC,NBCC (India) Limited
1151,NBIFIN,N. B. I. Industrial Finance Company Limited
1152,NCC,NCC Limited
1153,NCLIND,NCL Industries Limited
1154,NDGL,Naga Dhunseri Group Limited
1155,NDL,Nandan Denim Limited
1156,NDLVENTURE,NDL Ventures Limited
1157,NDRAUTO,Ndr Auto Components Limited
1158,NDTV,New Delhi Television Limited
1159,NECCLTD,North Eastern Carrying Corporation Limited
1160,NECLIFE,Nectar Lifesciences Limited
1161,NELCAST,Nelcast Limited
1162,NELCO,NELCO Limited
1163,NEOGEN,Neogen Chemicals Limited
1164,NESCO,Nesco Limited
1165,NESTLEIND,Nestle India Limited
1166,NETWORK18,Network18 Media & Investments Limited
1167,NEULANDLAB,Neuland Laboratories Limited
1168,NEWGEN,Newgen Software Technologies Limited
1169,NEXTMEDIA,Next Mediaworks Limited
1170,NFL,National Fertilizers Limited
1171,NGIL,Nakoda Group of Industries Limited
1172,NGLFINE,NGL Fine-Chem Limited
1173,NH,Narayana Hrudayalaya Ltd.
1174,NHPC,NHPC Limited
1175,NIACL,The New India Assurance Company Limited
1176,NIBL,NRB Industrial Bearings Limited
1177,NIITLTD,NIIT Limited
1178,NILAINFRA,Nila Infrastructures Limited
1179,NILASPACES,Nila Spaces Limited
1180,NILKAMAL,Nilkamal Limited
1181,NINSYS,NINtec Systems Limited
1182,NIPPOBATRY,Indo-National Limited
1183,NIRAJ,Niraj Cement Structurals Limited
1184,NIRAJISPAT,Niraj Ispat Industries Limited
1185,NITCO,Nitco Limited
1186,NITINSPIN,Nitin Spinners Limited
1187,NITIRAJ,Nitiraj Engineers Limited
1188,NKIND,NK Industries Limited
1189,NLCINDIA,NLC India Limited
1190,NMDC,NMDC Limited
1191,NOCIL,NOCIL Limited
1192,NOIDATOLL,Noida Toll Bridge Company Limited
1193,NORBTEAEXP,Norben Tea & Exports Limited
1194,NOVARTIND,Novartis India Limited
1195,NRAIL,N R Agarwal Industries Limited
1196,NRBBEARING,NRB Bearing Limited
1197,NRL,Nupur Recyclers Limited
1198,NSIL,Nalwa Sons Investments Limited
1199,NSLNISP,NMDC Steel Limited
1200,NTPC,NTPC Limited
1201,NUCLEUS,Nucleus Software Exports Limited
1202,NURECA,Nureca Limited
1203,NUVOCO,Nuvoco Vistas Corporation Limited
1204,NYKAA,FSN E-Commerce Ventures Limited
1205,OAL,Oriental Aromatics Limited
1206,OBCL,Orissa Bengal Carrier Limited
1207,OBEROIRLTY,Oberoi Realty Limited
1208,OCCL,Oriental Carbon & Chemicals Limited
1209,OFSS,Oracle Financial Services Software Limited
1210,OIL,Oil India Limited
1211,OILCOUNTUB,Oil Country Tubular Limited
1212,OLECTRA,Olectra Greentech Limited
1213,OMAXAUTO,Omax Autos Limited
1214,OMAXE,Omaxe Limited
1215,OMINFRAL,OM INFRA LIMITED
1216,OMKARCHEM,Omkar Speciality Chemicals Limited
1217,ONELIFECAP,Onelife Capital Advisors Limited
1218,ONEPOINT,One Point One Solutions Limited
1219,ONGC,Oil & Natural Gas Corporation Limited
1220,ONMOBILE,OnMobile Global Limited
1221,ONWARDTEC,Onward Technologies Limited
1222,OPTIEMUS,Optiemus Infracom Limited
1223,ORBTEXP,Orbit Exports Limited
1224,ORCHPHARMA,Orchid Pharma Limited
1225,ORICONENT,Oricon Enterprises Limited
1226,ORIENTABRA,Orient Abrasives Limited
1227,ORIENTALTL,Oriental Trimex Limited
1228,ORIENTBELL,Orient Bell Limited
1229,ORIENTCEM,Orient Cement Limited
1230,ORIENTELEC,Orient Electric Limited
1231,ORIENTHOT,Oriental Hotels Limited
1232,ORIENTLTD,Orient Press Limited
1233,ORIENTPPR,Orient Paper & Industries Limited
1234,ORISSAMINE,The Orissa Minerals Development Company Limited
1235,ORTEL,Ortel Communications Limited
1236,ORTINLAB,Ortin Laboratories Limited
1237,OSIAHYPER,Osia Hyper Retail Limited
1238,OSWALAGRO,Oswal Agro Mills Limited
1239,OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited
1240,PAGEIND,Page Industries Limited
1241,PAISALO,Paisalo Digital Limited
1242,PALASHSECU,Palash Securities Limited
1243,PALREDTEC,Palred Technologies Limited
1244,PANACEABIO,Panacea Biotec Limited
1245,PANACHE,Panache Digilife Limited
